Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
org.projectlombok:lombok:1.18.42,org.projectlombok,,RequiredArgsConstructor,1,
com.fasterxml.jackson.core:jackson-databind:2.17.2,com.fasterxml.jackson.core,,JsonDeserialize,1,
org.jspecify:jspecify:1.0.0,org.jspecify,,Nullable,1,
com.fasterxml.jackson.core:jackson-core:2.17.2,com.fasterxml.jackson.core,,"ObjectCodec, JsonParser",1,
com.fasterxml.jackson.core:jackson-annotations:2.17.2,com.fasterxml.jackson.core,,JsonIgnore,1,
com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.17.2,com.fasterxml.jackson.datatype,,JavaTimeModule,1,
com.fasterxml.jackson.module:jackson-module-parameter-names:2.17.2,com.fasterxml.jackson.module,,ParameterNamesModule,1,
io.micrometer:micrometer-core:1.17.0-M1,io.micrometer,,"Timer, Timer.Sample, Timer.Builder, MeterRegistry",1,
org.junit.jupiter:junit-jupiter-api:5.14.0,org.junit.jupiter,,"BeforeEach, AfterEach, Test",1,
